TIMESERIESID,STATION,SOURCE_TIMESERIES,PARAMETER,TIMESTAMP,VALUE,CODE,REVISION_DATE,QUALITY_CODE
12515,L005,L005+R,RAIN,11/17/2024,0,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/18/2024,0,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/19/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/20/2024,0.07,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/21/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/22/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/23/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/24/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/25/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/26/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/27/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/28/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/29/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,11/30/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,12/1/2024,0,NA,12/2/2024 10:48,A
12515,L005,L005+R,RAIN,12/2/2024,0,NA,12/9/2024 12:40,A
12515,L005,L005+R,RAIN,12/3/2024,0,NA,12/9/2024 12:40,A
12515,L005,L005+R,RAIN,12/4/2024,0,NA,12/9/2024 12:40,A
12515,L005,L005+R,RAIN,12/5/2024,0,NA,12/9/2024 12:40,A
12515,L005,L005+R,RAIN,12/6/2024,0,NA,12/9/2024 12:40,A
12515,L005,L005+R,RAIN,12/7/2024,0,NA,12/9/2024 12:40,A
12515,L005,L005+R,RAIN,12/8/2024,0,NA,12/9/2024 12:40,A
12515,L005,L005+R,RAIN,12/9/2024,0,NA,12/17/2024 13:08,A
12515,L005,L005+R,RAIN,12/10/2024,0,NA,12/17/2024 13:08,A
12515,L005,L005+R,RAIN,12/11/2024,0,NA,12/17/2024 13:08,A
12515,L005,L005+R,RAIN,12/12/2024,0,NA,12/17/2024 13:08,A
12515,L005,L005+R,RAIN,12/13/2024,0,NA,12/17/2024 13:08,A
12515,L005,L005+R,RAIN,12/14/2024,0.04,NA,12/17/2024 13:08,A
12515,L005,L005+R,RAIN,12/15/2024,0.15,NA,12/17/2024 13:08,A
12515,L005,L005+R,RAIN,12/16/2024,0,NA,12/17/2024 13:08,A
12515,L005,L005+R,RAIN,12/17/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/18/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/19/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/20/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/21/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/22/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/23/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/24/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/25/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/26/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/27/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/28/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/29/2024,0.21,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/30/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,12/31/2024,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,1/1/2025,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,1/2/2025,0,NA,1/3/2025 11:14,A
12515,L005,L005+R,RAIN,1/3/2025,0,NA,1/10/2025 13:35,A
12515,L005,L005+R,RAIN,1/4/2025,0,NA,1/10/2025 13:35,A
12515,L005,L005+R,RAIN,1/5/2025,0,NA,1/10/2025 13:35,A
12515,L005,L005+R,RAIN,1/6/2025,0,NA,1/10/2025 13:35,A
12515,L005,L005+R,RAIN,1/7/2025,0,NA,1/10/2025 13:35,A
12515,L005,L005+R,RAIN,1/8/2025,0,NA,1/10/2025 13:35,A
12515,L005,L005+R,RAIN,1/9/2025,0,NA,1/10/2025 13:35,A
12515,L005,L005+R,RAIN,1/10/2025,0,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/11/2025,0.01,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/12/2025,0,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/13/2025,0,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/14/2025,0,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/15/2025,0,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/16/2025,0,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/17/2025,0.16,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/18/2025,0,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/19/2025,0.04,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/20/2025,0.01,NA,1/21/2025 11:28,A
12515,L005,L005+R,RAIN,1/21/2025,0.27,NA,1/29/2025 14:20,A
12515,L005,L005+R,RAIN,1/22/2025,0.31,NA,1/29/2025 14:20,A
12515,L005,L005+R,RAIN,1/23/2025,0.07,NA,1/29/2025 14:20,A
12515,L005,L005+R,RAIN,1/24/2025,0,NA,1/29/2025 14:20,A
12515,L005,L005+R,RAIN,1/25/2025,0,NA,1/29/2025 14:20,A
12515,L005,L005+R,RAIN,1/26/2025,0,NA,1/29/2025 14:20,A
12515,L005,L005+R,RAIN,1/27/2025,0,NA,1/29/2025 14:20,A
12515,L005,L005+R,RAIN,1/28/2025,0,NA,1/29/2025 14:20,A
12515,L005,L005+R,RAIN,1/29/2025,0,NA,2/6/2025 10:48,A
12515,L005,L005+R,RAIN,1/30/2025,0,NA,2/6/2025 10:48,A
12515,L005,L005+R,RAIN,1/31/2025,0,NA,2/6/2025 10:48,A
12515,L005,L005+R,RAIN,2/1/2025,0,NA,2/6/2025 10:48,A
12515,L005,L005+R,RAIN,2/2/2025,0,NA,2/6/2025 10:48,A
12515,L005,L005+R,RAIN,2/3/2025,0,NA,2/6/2025 10:48,A
12515,L005,L005+R,RAIN,2/4/2025,0,NA,2/6/2025 10:48,A
12515,L005,L005+R,RAIN,2/5/2025,0,NA,2/6/2025 10:48,A
12515,L005,L005+R,RAIN,2/6/2025,0,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/7/2025,0,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/8/2025,0,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/9/2025,0,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/10/2025,0,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/11/2025,0,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/12/2025,0,NA,2/17/2025 13:19,A
