Colony,Latitude,Longitude,Nest Checks
Clewiston Spit 1,26.77597,-80.90956,Y
Clewiston Spit 2,26.77128,-80.9078,N
Eagle Bay Island,27.16913,-80.84679,N
Gator Farm,27.02317,-81.0612,N
Gun Range,26.89366,-81.12446,N
Lake Hicpochee,26.78775,-81.1062,N
Lakeport Marina,26.97333,-81.11573,N
Little Bear Beach,26.72483,-80.84408,Y
Moonshine Bay,26.91317,-81.02419,Y
Moore Haven East,26.86137,-81.00579,N
Pahokee,26.7721,-80.69519,N
Rock Islands,26.96944,-81.04035,Y
